Contract,Difficulty,Work Type,Created,Task Priority,Staff
Contract 0,Medium,internal,1744003422753,Priority 2,Employee 5
Contract 0,Medium,bug,1744002952627,Priority 2,Employee 17
Contract 26,Critical,internal,1743999673897,Priority 3,Employee 9
Contract 0,Medium,enquiry,1743983592830,Priority 2,Employee 5
Contract 27,Medium,general,1743982891541,Priority 2,Employee 13
Contract 0,Medium,internal,1743982191850,Priority 1,Employee 5
Contract 0,Medium,internal,1743981900586,Priority 1,Employee 5
Contract 0,Low,enquiry,1743979278633,Priority 3,Employee 5
Contract 26,Medium,general,1743743038273,Priority 2,Employee 1
Contract 26,High,general,1743742724763,Priority 2,Employee 1
Contract 26,Medium,general,1743736257170,Priority 2,Employee 10
Contract 28,Low,enquiry,1743731695751,Priority 2,Employee 7
Contract 0,Medium,enquiry,1743730202299,Priority 2,Employee 5
Contract 0,Low,enquiry,1743729497517,Priority 2,Employee 5
Contract 0,Medium,internal,1743717927421,Priority 1,Employee 5
Contract 0,Medium,internal,1743672259339,Priority 1,Employee 5
Contract 0,Medium,internal,1743671803393,Priority 2,Employee 5
Contract 19,Medium,billing,1743671285116,Priority 1,Employee 16
Contract 0,Low,enquiry,1743670989657,Priority 3,Employee 5
Contract 0,Medium,internal,1743670395416,Priority 2,Employee 5
Contract 0,High,internal,1743670160595,Priority 2,Employee 5
Contract 16,Critical,dashboard,1743669127868,Priority 2,Employee 13
Contract 0,Medium,enquiry,1743662261610,Priority 2,Employee 5
Contract 0,Low,internal,1743660301944,Priority 3,Employee 5
Contract 29,High,general,1743658380615,Priority 2,Employee 9
Contract 25,Critical,internal,1743656559295,Priority 1,Employee 10
Contract 0,Medium,enquiry,1743656539361,Priority 2,Employee 5
Contract 30,High,data-imports,1743654086291,Priority 2,Employee 6
Contract 31,Low,general,1743639107007,Priority 2,Employee 13
Contract 32,Critical,internal,1743635687001,Priority 2,Employee 11
Contract 0,Medium,enquiry,1743632508758,Priority 1,Employee 5
Contract 33,Medium,general,1743627779424,Hold Off,Employee 11
Contract 0,Medium,enquiry,1743575887340,Priority 2,Employee 5
Contract 0,Medium,enquiry,1743564203663,Priority 1,Employee 5
Contract 0,Medium,enquiry,1743561703061,Priority 2,Employee 5
Contract 0,Medium,enquiry,1743560737869,Priority 1,Employee 5
Contract 0,Medium,enquiry,1743557653997,Priority 2,Employee 5
Contract 7,High,feature-additions,1743545513345,Immediate,Employee 10
Contract 34,High,website upgrades,1743487086480,Priority 2,Employee 7
Contract 0,Medium,internal,1743477793089,Priority 2,Employee 5
Contract 1,Critical,internal,1743475222353,Priority 1,Employee 10
Contract 35,High,bug,1743474385001,Priority 2,Employee 17
Contract 26,High,general,1743469166291,Priority 2,Employee 9
Contract 36,Critical,artifacts,1743463361464,Immediate,Employee 16
Contract 34,High,internal,1743401885291,Priority 2,Employee 17
Contract 37,Low,website-design,1743399933493,Priority 3,Employee 1
Contract 38,Medium,general,1743397185408,Priority 1,Employee 11
Contract 31,Medium,general,1743392178008,Priority 3,Employee 10
Contract 39,High,data,1743388628018,Priority 2,Employee 13
Contract 40,Critical,internal,1743387856999,Priority 2,Employee 17
Contract 18,High,general,1743378901271,Immediate,Employee 11
Contract 27,Low,artifacts,1743376677886,Immediate,Employee 4
Contract 41,Critical,internal,1743282744498,Immediate,Employee 1
Contract 41,Critical,bug,1743252648247,Priority 2,Employee 7
Contract 42,Medium,general,1743151579079,Priority 1,Employee 9
Contract 25,Critical,billing,1743136680625,Priority 2,Employee 17
Contract 8,Critical,general,1743132208008,Priority 2,Employee 10
Contract 43,High,general,1743041958796,Priority 2,Employee 17
Contract 25,Medium,general,1743039159231,Hold Off,Employee 9
Contract 13,Critical,general,1743026472161,Priority 2,Employee 1
Contract 38,Medium,general,1742970375184,Priority 1,Employee 17
Contract 44,Medium,general,1742967669453,Priority 2,Employee 13
Contract 27,Medium,general,1742966979608,Priority 2,Employee 1
Contract 1,High,internal,1742953770286,Priority 2,Employee 1
Contract 33,Critical,general,1742950513473,Priority 1,Employee 10
Contract 33,High,payement-integration,1742950443600,Priority 1,Not Assigned
Contract 39,Low,internal,1742949366327,Priority 2,Employee 1
Contract 25,High,billing,1742882964258,Immediate,Employee 1
Contract 45,High,internal,1742877745444,Priority 2,Employee 1
Contract 46,High,general,1742869352808,Priority 1,Employee 13
Contract 47,High,billing,1742868928471,Priority 2,Employee 10
Contract 0,Medium,enquiry,1742868003948,Priority 2,Employee 5
Contract 0,Medium,enquiry,1742865811159,Priority 2,Employee 5
Contract 0,Medium,enquiry,1742852461195,Priority 2,Employee 5
Contract 42,Low,google-forms,1742790398606,Priority 2,Not Assigned
Contract 35,Critical,billing,1742788649342,Priority 2,Employee 17
Contract 1,Critical,billing,1742788186282,Priority 2,Employee 17
Contract 13,Critical,internal,1742774021211,Priority 2,Employee 15
Contract 0,Low,enquiry,1742772688623,Priority 2,Employee 5
Contract 0,Medium,enquiry,1742765175479,Priority 2,Employee 5
Contract 14,Low,general,1742548758613,Priority 3,Employee 13
Contract 24,Critical,general,1742519521735,Priority 1,Employee 9
Contract 42,Medium,general,1742517485068,Priority 2,Employee 17
Contract 1,High,general,1742517472478,Priority 2,Employee 1
Contract 26,Critical,feature-additions,1742515646797,Priority 2,Employee 15
Contract 0,Low,enquiry,1742451431313,Priority 3,Employee 5
Contract 48,Critical,internal,1742441245306,Priority 2,Employee 17
Contract 49,High,enquiry,1742440517563,Immediate,Employee 7
Contract 50,Low,feature-additions,1742430585568,Priority 3,Employee 1
Contract 51,Critical,internal,1742429848015,Priority 2,Employee 6
Contract 39,Critical,general,1742429337394,Priority 1,Employee 16
Contract 52,Critical,enquiry,1742426443234,Priority 1,Employee 10
Contract 40,Critical,general,1742368922400,Immediate,Employee 1
Contract 53,Critical,payement-integration,1742363210161,Priority 2,Employee 17
Contract 42,High,artifacts,1742358429414,Priority 2,Employee 7
Contract 38,Critical,internal,1742347509447,Immediate,Employee 14
Contract 22,Medium,general,1742343437346,Priority 3,Employee 10
Contract 33,Medium,artifacts,1742336082867,Priority 1,Employee 16
Contract 3,High,general,1742335989718,Priority 2,Employee 1
Contract 34,High,general,1742288101506,Priority 2,Employee 1
Contract 26,Critical,general,1742285522242,Immediate,Employee 15
Contract 54,Critical,billing,1742279909078,Immediate,Employee 17
Contract 24,High,general,1742272974405,Priority 2,Employee 8
Contract 48,Medium,internal,1742269491300,Priority 2,Employee 1
Contract 51,Critical,general,1742266209711,Priority 2,Employee 1
Contract 34,Critical,general,1742265204690,Immediate,Employee 17
Contract 22,Medium,general,1742257379803,Hold Off,Employee 10
Contract 39,High,artifacts,1742253404376,Priority 2,Employee 1
Contract 22,Medium,general,1742176266418,Priority 2,Employee 1
Contract 12,Low,enquiry,1742173631069,Priority 3,Employee 1
Contract 26,Critical,data-imports,1742165599452,Priority 2,Employee 17
Contract 26,Critical,data-imports,1742165468898,Priority 2,Employee 17
Contract 26,Critical,data-imports,1742165210984,Priority 2,Employee 17
Contract 26,High,artifacts,1742160896846,Immediate,Employee 4
Contract 10,Critical,general,1741925936578,Priority 2,Employee 17
Contract 0,Medium,enquiry,1741921839141,Priority 1,Employee 5
Contract 51,Medium,general,1741903150604,Priority 2,Employee 1
Contract 24,Critical,artifacts,1741856088815,Immediate,Employee 13
Contract 22,Medium,dashboard,1741845862470,Priority 2,Employee 9
Contract 17,High,billing,1741841774569,Priority 2,Employee 11
Contract 0,Low,enquiry,1741841187775,Priority 3,Employee 5
Contract 0,High,enquiry,1741840736929,Priority 1,Employee 5
Contract 13,Critical,internal,1741835397685,Priority 2,Employee 17
Contract 31,High,general,1741820597566,Priority 2,Employee 15
Contract 22,Medium,dashboard,1741759218695,Hold Off,Employee 9
Contract 26,Critical,general,1741751367670,Immediate,Employee 15
Contract 26,Critical,general,1741751285666,Immediate,Employee 15
Contract 0,Medium,enquiry,1741748027245,Priority 2,Employee 5
Contract 43,High,google-forms,1741742224421,Priority 1,Employee 16
Contract 38,Critical,general,1741732107407,Priority 3,Employee 17
Contract 0,Critical,enquiry,1741731390269,Priority 2,Employee 5
Contract 34,High,general,1741670940584,Priority 2,Employee 7
Contract 55,Medium,general,1741658809182,Hold Off,Employee 1
Contract 32,High,website upgrades,1741657538055,Priority 2,Employee 7
Contract 0,High,enquiry,1741656194300,Priority 2,Employee 5
Contract 0,High,google-forms,1741653339376,Immediate,Employee 5
Contract 21,Critical,general,1741648042204,Priority 1,Employee 17
Contract 4,Critical,artifacts,1741578218305,Priority 1,Not Assigned
Contract 56,Medium,website upgrades,1741327771818,Priority 2,Employee 7
Contract 57,Critical,billing,1741313810643,Priority 2,Employee 1
Contract 58,High,billing,1741313660688,Immediate,Employee 1
Contract 24,Critical,general,1741241446124,Priority 1,Employee 8
Contract 59,Medium,google-forms,1741240273717,Priority 2,Employee 10
Contract 25,Critical,general,1741228211746,Priority 2,Employee 17
Contract 0,Medium,internal,1741226686665,Priority 1,Employee 5
Contract 39,Medium,general,1741219773511,Hold Off,Employee 1
Contract 60,High,artifacts,1741218780675,Immediate,Not Assigned
Contract 47,Critical,bug,1741217167296,Priority 2,Employee 17
Contract 26,High,internal,1741215769640,Priority 2,Employee 15
Contract 26,High,internal,1741214615950,Priority 2,Employee 9
Contract 26,High,internal,1741214516082,Priority 2,Employee 9
Contract 34,High,website upgrades,1741156394107,Priority 2,Employee 7
Contract 38,Critical,general,1741146277119,Priority 1,Employee 13
Contract 61,High,artifacts,1741140871358,Priority 2,Employee 1
Contract 10,Critical,bug,1741139959554,Priority 2,Employee 1
Contract 62,High,general,1741136518663,Priority 3,Employee 9
Contract 0,Medium,enquiry,1741126278012,Hold Off,Employee 5
Contract 55,Medium,google-forms,1741054950712,Priority 2,Employee 1
Contract 26,High,internal,1741037702184,Immediate,Employee 9
Contract 5,Critical,enquiry,1740973663218,Priority 2,Employee 10
Contract 63,Critical,internal,1740964999845,Priority 1,Employee 17
Contract 3,Medium,general,1740961053457,Priority 3,Employee 1
Contract 9,High,general,1740958471184,Immediate,Employee 9
Contract 0,Low,internal,1740953919217,Priority 1,Employee 5
Contract 25,Critical,general,1740730010540,Priority 2,Employee 10
Contract 14,Medium,general,1740704070573,Priority 2,Employee 10
Contract 22,Medium,general,1740605985016,Priority 1,Employee 1
Contract 33,Medium,general,1740602272611,Priority 2,Employee 13
Contract 22,High,internal,1740524311284,Priority 2,Employee 17
Contract 0,Medium,general,1740461025302,Hold Off,Employee 5
Contract 14,Medium,general,1740453619685,Priority 2,Employee 7
Contract 5,High,internal,1740445194396,Priority 2,Employee 17
Contract 5,High,internal,1740443173130,Priority 2,Employee 1
Contract 42,High,general,1740122313360,Priority 2,Employee 7
Contract 20,High,bug,1740110415022,Priority 2,Employee 7
Contract 13,Medium,artifacts,1740103902067,Priority 1,Employee 16
Contract 25,Critical,internal,1740038612750,Priority 2,Employee 10
Contract 20,High,dashboard,1740029556698,Priority 2,Employee 7
Contract 43,Critical,general,1740027607117,Immediate,Employee 13
Contract 10,Low,internal,1740023009277,Hold Off,Employee 13
Contract 26,High,general,1740018566702,Priority 2,Employee 10
Contract 26,High,general,1740018428296,Priority 1,Employee 10
Contract 26,High,general,1740018213594,Priority 2,Employee 10
Contract 16,High,general,1740017880633,Priority 2,Employee 17
Contract 10,Critical,website-design,1740014964979,Priority 1,Employee 1
Contract 34,Critical,general,1740014056482,Priority 2,Employee 7
Contract 10,Low,general,1740013988677,Hold Off,Employee 1
Contract 32,Critical,general,1740009198539,Priority 2,Employee 17
Contract 20,High,general,1739946509216,Priority 2,Employee 7
Contract 31,Medium,general,1739936918709,Priority 3,Employee 1
Contract 34,Medium,general,1739932073872,Priority 2,Employee 1
Contract 64,Critical,website upgrades,1739850634967,Priority 1,Employee 7
Contract 65,Critical,general,1739846133902,Immediate,Employee 1
Contract 0,Medium,enquiry,1739844189658,Priority 2,Employee 5
Contract 0,High,data,1739839983092,Priority 2,Employee 10
Contract 34,High,general,1739838515908,Priority 2,Employee 17
Contract 10,Critical,billing,1739830406854,Priority 1,Employee 1
Contract 66,Medium,google-forms,1739782515811,Priority 2,Employee 7
Contract 26,Medium,general,1739754227838,Priority 2,Employee 15
Contract 64,High,graphic-design,1739750217451,Priority 2,Employee 7
Contract 43,Critical,data,1739744876631,Priority 2,Employee 1
Contract 14,High,general,1739744406422,Priority 2,Employee 1
Contract 40,Critical,internal,1739530976393,Immediate,Employee 1
Contract 25,Critical,artifacts,1739509923677,Priority 2,Employee 10
Contract 25,Critical,artifacts,1739508517518,Immediate,Employee 10
Contract 38,High,google-forms,1739506651982,Priority 1,Employee 13
Contract 8,Critical,general,1739479693447,Priority 1,Employee 10
Contract 24,Critical,dashboard,1739420858829,Priority 1,Employee 13
Contract 67,Medium,graphic-design,1739406863577,Priority 2,Employee 10
Contract 26,High,general,1739404356446,Priority 1,Employee 10
Contract 13,Medium,general,1739401358496,Priority 2,Employee 13
Contract 31,High,general,1739336468036,Priority 2,Employee 7
Contract 22,Medium,artifacts,1739329163731,Priority 2,Employee 13
Contract 26,Critical,general,1739325914982,Immediate,Employee 10
Contract 26,Critical,general,1739324990520,Priority 1,Employee 10
Contract 4,Low,general,1739317892656,Priority 2,Employee 7
Contract 42,Critical,billing,1739256148451,Immediate,Employee 17
Contract 3,Medium,artifacts,1739249197943,Priority 3,Employee 16
Contract 3,Medium,artifacts,1739248724345,Priority 3,Employee 1
Contract 47,Medium,general,1739237224314,Priority 2,Employee 10
Contract 33,Medium,general,1739221700585,Priority 2,Employee 7
Contract 13,High,internal,1739164930057,Priority 2,Employee 17
Contract 42,Medium,general,1739158176439,Priority 2,Employee 7
Contract 68,Medium,wordpress-dev,1739155788987,Priority 2,Employee 7
Contract 47,High,general,1739148347464,Priority 2,Employee 13
Contract 63,Medium,general,1739143805530,Priority 2,Employee 7
Contract 39,Medium,google-forms,1738901363102,Priority 2,Employee 11
Contract 20,High,general,1738887566179,Priority 2,Employee 7
Contract 20,High,bug,1738884090171,Priority 2,Employee 7
Contract 26,Medium,general,1738882415508,Priority 1,Employee 12
Contract 17,High,billing,1738827141526,Priority 2,Employee 10
Contract 34,High,general,1738825381708,Priority 2,Employee 7
Contract 52,Low,general,1738815598935,Hold Off,Employee 1
Contract 52,Medium,google-forms,1738815157985,Priority 1,Employee 1
Contract 42,Medium,general,1738806510144,Priority 2,Employee 7
Contract 30,Medium,internal,1738731121928,Priority 1,Not Assigned
Contract 10,Medium,website-design,1738710428228,Priority 2,Employee 1
Contract 13,High,data,1738705149670,Priority 2,Employee 1
Contract 31,High,general,1738644566649,Priority 2,Employee 1
Contract 13,High,general,1738637870423,Priority 3,Employee 1
Contract 34,High,general,1738629387371,Immediate,Employee 7
Contract 10,Medium,internal,1738555385570,Priority 2,Employee 10
Contract 34,Medium,general,1738552189822,Priority 1,Employee 1
Contract 10,High,general,1738380020059,Priority 2,Employee 1
Contract 10,High,artifacts,1738292821529,Priority 1,Employee 16
Contract 7,High,general,1738287787847,Priority 2,Employee 14
Contract 5,Low,general,1738284868866,Priority 3,Employee 7
Contract 31,Medium,general,1738278979557,Priority 1,Employee 1
Contract 28,Medium,general,1738110563985,Priority 2,Employee 7
Contract 69,High,dashboard,1738107187822,Priority 2,Employee 10
Contract 26,Medium,internal,1738102555241,Priority 2,Employee 9
Contract 69,Critical,website upgrades,1738077620257,Priority 2,Employee 7
Contract 69,Critical,website upgrades,1738075825668,Priority 2,Employee 7
Contract 17,High,enquiry,1738033272884,Priority 2,Employee 11
Contract 1,Critical,general,1738026714365,Priority 1,Employee 14
Contract 1,Critical,general,1738021580977,Priority 1,Employee 14
Contract 34,Medium,internal,1738019218277,Priority 1,Employee 10
Contract 1,Critical,artifacts,1737946912587,Priority 2,Employee 7
Contract 25,Critical,artifacts,1737700823611,Immediate,Employee 17
Contract 5,High,general,1737697896328,Priority 3,Employee 10
Contract 10,Medium,google-forms,1737696655737,Priority 3,Employee 13
Contract 40,Critical,internal,1737599001457,Priority 2,Employee 1
Contract 16,High,internal,1737591980157,Priority 2,Employee 17
Contract 34,High,website upgrades,1737540383644,Priority 1,Employee 7
Contract 60,High,internal,1737524106074,Priority 2,Employee 1
Contract 17,High,general,1737516621191,Priority 2,Employee 9
Contract 34,High,general,1737508217766,Priority 2,Employee 7
Contract 26,High,general,1737508001801,Priority 2,Employee 10
Contract 34,High,general,1737507919106,Priority 1,Employee 10
Contract 34,High,general,1737505419094,Priority 2,Employee 7
Contract 33,High,general,1737498720697,Immediate,Employee 1
Contract 40,High,internal,1737442447976,Priority 2,Employee 17
Contract 40,Critical,internal,1737442210718,Priority 2,Employee 1
Contract 34,High,general,1737430687197,Priority 1,Employee 10
Contract 26,High,general,1737332804429,Priority 2,Employee 15
Contract 48,Medium,enquiry,1736985130758,Priority 2,Employee 11
Contract 26,Critical,general,1736981079367,Priority 3,Employee 17
Contract 34,Medium,general,1736841289902,Priority 2,Employee 17
Contract 1,High,internal,1736826066069,Priority 1,Employee 9
Contract 18,Low,artifacts,1736814371678,Hold Off,Not Assigned
Contract 8,High,internal,1736747507751,Priority 2,Employee 13
Contract 2,Critical,dashboard,1736722531129,Priority 2,Employee 9
Contract 17,Critical,billing,1736473101852,Priority 1,Employee 13
Contract 3,High,feature-additions,1736469122801,Priority 2,Employee 9
Contract 51,Low,general,1736459669601,Hold Off,Employee 1
Contract 17,High,general,1736396484544,Immediate,Employee 17
Contract 4,Medium,general,1736311195627,Priority 2,Employee 1
Contract 20,Medium,enquiry,1736206058639,Priority 2,Employee 15
Contract 1,High,artifacts,1736126821357,Priority 1,Employee 16
Contract 42,Medium,general,1735868477601,Priority 2,Employee 15
Contract 25,High,general,1735702579978,Priority 2,Employee 1
Contract 4,High,general,1735598751564,Priority 2,Employee 10
Contract 51,Critical,general,1735519401889,Priority 2,Employee 17
Contract 42,Medium,enquiry,1735257959127,Priority 2,Employee 15
Contract 2,Medium,general,1735246819596,Priority 2,Employee 1
Contract 4,High,general,1734917589887,Priority 2,Employee 10
Contract 4,High,dashboard,1734912795327,Priority 2,Employee 10
Contract 20,Critical,internal,1734644743355,Priority 1,Employee 7
Contract 26,High,general,1734579325719,Priority 2,Employee 10
Contract 5,Medium,artifacts,1734404765525,Priority 1,Employee 9
Contract 6,High,google-forms,1734071705172,Priority 2,Employee 1
Contract 18,High,google-forms,1734071536030,Priority 2,Employee 1
Contract 61,High,google-forms,1734070902053,Priority 2,Employee 1
Contract 7,High,google-forms,1734068737210,Priority 2,Employee 1
Contract 22,Medium,general,1734044180892,Priority 2,Employee 15
Contract 10,High,general,1733976947999,Priority 1,Employee 11
Contract 10,High,billing,1733973655855,Immediate,Employee 17
Contract 40,High,website-design,1733963428121,Priority 2,Employee 10
Contract 40,High,enquiry,1733963340499,Priority 2,Employee 10
Contract 22,High,general,1733893087077,Priority 2,Employee 17
Contract 10,High,general,1733882377118,Immediate,Employee 11
Contract 8,Critical,enquiry,1733800992351,Priority 2,Employee 14
Contract 22,Medium,data,1733443208333,Priority 1,Employee 1
Contract 13,Critical,enquiry,1733374100596,Priority 3,Employee 2
Contract 30,Medium,website-design,1733273402045,Priority 2,Employee 1
Contract 34,Medium,data-imports,1733201518813,Priority 2,Employee 10
Contract 26,Medium,feature-additions,1733193970443,Priority 3,Employee 1
Contract 26,High,general,1733184329206,Priority 2,Employee 10
Contract 26,Critical,internal,1732852995200,Priority 3,Employee 9
Contract 68,Critical,internal,1732767035569,Priority 2,Employee 10
Contract 3,High,website-design,1732666199539,Priority 2,Employee 1
Contract 40,High,internal,1732601351872,Immediate,Employee 17
Contract 22,Critical,general,1732594976335,Priority 2,Employee 10
Contract 41,Medium,general,1732221326202,Priority 2,Employee 15
Contract 40,High,general,1732172194012,Immediate,Employee 9
Contract 40,Low,internal,1732100334863,Priority 3,Employee 17
Contract 24,High,website-design,1731983787496,Immediate,Employee 10
Contract 4,Medium,data,1731647480526,Priority 2,Employee 9
Contract 9,High,data,1731566910972,Priority 2,Employee 10
Contract 13,Medium,general,1731557888310,Priority 3,Employee 15
Contract 26,High,general,1731476845984,Priority 3,Employee 10
Contract 22,Medium,internal,1731471697726,Priority 3,Employee 17
Contract 25,High,general,1731451935573,Immediate,Employee 1
Contract 8,Medium,artifacts,1731386379808,Priority 3,Employee 1
Contract 1,Medium,enquiry,1731363086614,Priority 1,Employee 10
Contract 22,Low,general,1731054316449,Hold Off,Employee 17
Contract 22,Low,website-design,1731053714291,Priority 3,Employee 17
Contract 22,Low,website-design,1731053250590,Priority 3,Employee 7
Contract 22,Low,general,1731052378386,Priority 3,Employee 17
Contract 8,Medium,data-imports,1731023041996,Priority 1,Employee 15
Contract 8,Medium,data-imports,1731019879454,Priority 3,Employee 15
Contract 8,Medium,data-imports,1730946306244,Priority 3,Employee 15
Contract 8,High,artifacts,1730940988660,Priority 2,Employee 2
Contract 39,High,data,1730796531395,Priority 2,Employee 9
Contract 25,High,internal,1730784538944,Immediate,Employee 15
Contract 35,Low,enquiry,1730769895649,Priority 3,Employee 5
Contract 2,Medium,data-imports,1730688545881,Priority 1,Employee 5
Contract 11,Medium,general,1730684780364,Priority 3,Employee 17
Contract 22,Medium,general,1730433035037,Priority 3,Employee 17
Contract 2,Low,data-imports,1730245942592,Hold Off,Employee 5
Contract 3,High,general,1730159412763,Priority 1,Employee 14
Contract 22,Medium,general,1730093153004,Priority 2,Employee 17
Contract 29,Medium,data,1729812291029,Hold Off,Employee 15
Contract 3,Medium,internal,1729728901912,Priority 3,Employee 5
Contract 22,Medium,data,1729722736335,Hold Off,Employee 13
Contract 26,High,general,1729648708718,Priority 3,Employee 3
Contract 13,High,general,1729552508570,Priority 2,Employee 17
Contract 8,Medium,internal,1729487983284,Hold Off,Employee 15
Contract 55,High,general,1729137435079,Priority 1,Employee 1
Contract 55,Medium,general,1729137146997,Priority 3,Employee 2
Contract 39,High,general,1729114443772,Immediate,Employee 9
Contract 13,High,data,1728898598812,Priority 2,Employee 17
Contract 41,High,wordpress-dev,1728452587403,Priority 2,Employee 2
Contract 50,Critical,enquiry,1728265674556,Immediate,Employee 15
Contract 37,Critical,artifacts,1728027966825,Priority 2,Employee 17
Contract 24,Critical,general,1727837630792,Immediate,Employee 10
Contract 4,Medium,general,1727820145247,Priority 1,Employee 17
Contract 13,High,website-design,1727697169394,Priority 3,Employee 10
Contract 51,Critical,general,1727654071923,Priority 2,Employee 15
Contract 43,Critical,payement-integration,1727308133552,Priority 2,Employee 17
Contract 10,High,billing,1727241066639,Priority 3,Employee 15
Contract 37,High,internal,1727228766942,Priority 3,Employee 17
Contract 26,High,general,1727158933778,Priority 2,Employee 15
Contract 2,Medium,general,1727133667026,Priority 3,Employee 15
Contract 34,High,general,1726641153737,Priority 2,Employee 7
Contract 13,High,website-design,1726620496917,Priority 3,Employee 10
Contract 24,Medium,general,1726547857254,Priority 1,Employee 15
Contract 34,Medium,general,1726268157753,Priority 2,Employee 10
Contract 8,Critical,general,1726185374226,Priority 2,Employee 15
Contract 33,Medium,general,1726088613706,Priority 1,Employee 10
Contract 43,Medium,general,1726021297047,Priority 3,Employee 15
Contract 8,Low,enquiry,1726016043357,Priority 3,Not Assigned
